"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 25 13:04:31 GMT 2023","Mon Sep 25 13:04:32 GMT 2023","896","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: [GREY]]","Create new order with different colors",""
"passed","Mon Sep 25 13:04:34 GMT 2023","Mon Sep 25 13:04:35 GMT 2023","875","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourier","Create new courier with valid data",""
"passed","Mon Sep 25 13:04:37 GMT 2023","Mon Sep 25 13:04:39 GMT 2023","2577","","courier.DeleteCourierTest","","courier.DeleteCourierTest","deleteCourier","Delete courier",""
"passed","Mon Sep 25 13:04:32 GMT 2023","Mon Sep 25 13:04:33 GMT 2023","893","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: [BLACK, GREY]]","Create new order with different colors",""
"passed","Mon Sep 25 13:04:30 GMT 2023","Mon Sep 25 13:04:31 GMT 2023","1064","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: [BLACK]]","Create new order with different colors",""
"passed","Mon Sep 25 13:04:33 GMT 2023","Mon Sep 25 13:04:34 GMT 2023","890","","order.CreateOrderTest","","order.CreateOrderTest","createNewOrder[Color: []]","Create new order with different colors",""
"passed","Mon Sep 25 13:04:35 GMT 2023","Mon Sep 25 13:04:36 GMT 2023","861","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourierWithSameLogin","Create new courier with same login",""
"passed","Mon Sep 25 13:04:42 GMT 2023","Mon Sep 25 13:04:43 GMT 2023","1705","","courier.LoginCourierTest","","courier.LoginCourierTest","loginCourier","Login courier with valid data",""
"passed","Mon Sep 25 13:04:10 GMT 2023","Mon Sep 25 13:04:30 GMT 2023","19611","","order.GetOrderListTest","","order.GetOrderListTest","getOrderList","Get list of orders",""
"passed","Mon Sep 25 13:04:36 GMT 2023","Mon Sep 25 13:04:37 GMT 2023","866","","courier.CreateCourierTest","","courier.CreateCourierTest","createNewCourierWithEmptyPassword","Create new courier with null password",""
"passed","Mon Sep 25 13:04:39 GMT 2023","Mon Sep 25 13:04:41 GMT 2023","1714","","courier.LoginCourierTest","","courier.LoginCourierTest","loginCourierWithEmptyPassword","Login courier with empty password",""
"passed","Mon Sep 25 13:04:41 GMT 2023","Mon Sep 25 13:04:42 GMT 2023","816","","courier.LoginCourierTest","","courier.LoginCourierTest","loginCourierWithInvalidLogin","Login courier with invalid login",""
